X,Y,Z,Height,Score
0.737414,-0.588974,9.471462,0.77467,39
0.737414,-0.59855,9.471462,0.947522,34
0.761356,-0.593762,9.476251,0.698376,31
0.742203,-0.588974,9.461885,0.80116,28
0.737414,-0.588974,9.461885,0.616101,25
0.737414,-0.59855,9.466674,0.781262,22
0.737414,-0.593762,9.466674,0.687451,23
0.737414,-0.588974,9.485827,0.791516,88
0.732626,-0.593762,9.466674,0.998792,88
0.732626,-0.593762,9.466674,0.886121,87
0.742203,-0.588974,9.461885,0.792432,84
0.737414,-0.588974,9.442732,0.913709,46
0.737414,-0.59855,9.457097,0.847852,39
0.737414,-0.588974,9.471462,0.879041,34
0.742203,-0.593762,9.466674,0.945508,31
0.737414,-0.588974,9.452309,0.887402,28
0.742203,-0.59855,9.466674,0.817395,25
0.742203,-0.588974,9.476251,0.850659,22
0.732626,-0.584185,9.461885,0.691296,23
0.746991,-0.593762,9.461885,0.780164,88
0.723049,-0.593762,9.466674,0.685254,88
0.732626,-0.584185,9.466674,0.757336,87
0.732626,-0.584185,9.461885,0.802502,84
0.756568,-0.593762,9.466674,0.786145,46
0.732626,-0.59855,9.457097,0.728528,39
0.742203,-0.588974,9.461885,0.839429,34
0.746991,-0.59855,9.466674,0.822217,31
0.756568,-0.588974,9.466674,0.805127,28
0.737414,-0.593762,9.461885,0.801526,25
0.746991,-0.593762,9.476251,0.879163,22
0.746991,-0.593762,9.457097,0.880688,23
0.742203,-0.588974,9.461885,0.76051,88
0.742203,-0.59855,9.461885,0.765576,88
0.742203,-0.593762,9.461885,0.673108,87
0.727837,-0.593762,9.461885,0.528271,84
0.727837,-0.593762,9.471462,0.633008,46
0.732626,-0.588974,9.461885,0.82063,39
0.723049,-0.59855,9.461885,0.619458,34
0.737414,-0.588974,9.466674,0.639355,31
0.727837,-0.59855,9.457097,0.669873,28
0.732626,-0.588974,9.461885,0.675488,25
0.746991,-0.593762,9.466674,0.764844,22
0.732626,-0.593762,9.481039,0.697583,23
0.742203,-0.588974,9.466674,0.884839,88
0.756568,-0.59855,9.461885,0.617017,88
0.727837,-0.588974,9.471462,0.709302,87
0.737414,-0.584185,9.466674,0.676404,84
0.737414,-0.588974,9.461885,0.632459,46
0.775721,-0.588974,9.466674,0.537183,39
0.727837,-0.593762,9.471462,0.560254,34
0.732626,-0.593762,9.476251,0.629712,31
0.742203,-0.593762,9.461885,0.730847,28
0.723049,-0.588974,9.466674,0.66084,25
0.713472,-0.59855,9.476251,0.802502,22
0.713472,-0.588974,9.452309,0.862012,23
0.727837,-0.593762,9.461885,0.877271,88
0.732626,-0.59855,9.466674,0.762341,88
0.756568,-0.59855,9.466674,0.809949,87
0.746991,-0.588974,9.452309,0.791577,84
0.732626,-0.579397,9.466674,0.916455,46
0.746991,-0.59855,9.490616,0.674573,39
0.794875,-0.593762,9.457097,0.89906,35
0.732626,-0.593762,9.466674,0.754346,31
0.727837,-0.588974,9.466674,0.801221,28
0.751779,-0.574608,9.466674,0.816357,25
0.732626,-0.59855,9.457097,0.703442,22
0.732626,-0.584185,9.461885,0.811841,23
0.732626,-0.59855,9.466674,0.761426,88
0.723049,-0.579397,9.466674,0.86427,88
0.742203,-0.584185,9.461885,0.93562,87
0.737414,-0.593762,9.452309,0.817151,84
0.746991,-0.588974,9.461885,0.757153,46
0.746991,-0.593762,9.471462,0.785046,39
0.703895,-0.579397,9.457097,0.711865,34
0.718261,-0.584185,9.457097,0.736829,31
0.718261,-0.588974,9.481039,0.822705,28
0.718261,-0.584185,9.466674,0.910352,25
0.708684,-0.588974,9.457097,0.848706,22
0.713472,-0.579397,9.452309,0.862988,23
0.723049,-0.574608,9.466674,0.854321,88
0.718261,-0.593762,9.481039,0.966992,88
0.713472,-0.588974,9.461885,1.112378,87
0.713472,-0.588974,9.471462,0.779797,84
0.713472,-0.584185,9.476251,0.737195,46
0.679953,-0.584185,9.461885,0.852551,39
0.718261,-0.588974,9.461885,0.667371,34
0.708684,-0.579397,9.476251,0.683362,31
0.713472,-0.584185,9.476251,0.594067,28
0.718261,-0.584185,9.461885,0.97041,25
0.713472,-0.588974,9.44752,0.909497,22
0.713472,-0.584185,9.466674,1.022534,23
0.694318,-0.584185,9.471462,1.003064,88
0.723049,-0.588974,9.471462,0.806165,88
0.713472,-0.588974,9.481039,0.896069,87
0.727837,-0.584185,9.481039,0.822522,85
0.718261,-0.584185,9.44752,0.935315,46
0.718261,-0.588974,9.466674,0.781201,39
0.718261,-0.584185,9.466674,0.814709,34
0.718261,-0.584185,9.44752,0.823743,31
0.713472,-0.574608,9.457097,0.888318,28
0.732626,-0.588974,9.471462,0.732678,25
0.718261,-0.593762,9.476251,0.629956,22
0.723049,-0.579397,9.471462,0.729321,23
0.718261,-0.584185,9.466674,0.775464,88
0.713472,-0.579397,9.461885,0.756482,88
0.713472,-0.574608,9.461885,0.77998,87
0.713472,-0.593762,9.461885,0.664136,84
0.713472,-0.588974,9.471462,0.779065,46
0.708684,-0.584185,9.452309,0.707837,39
0.718261,-0.588974,9.461885,0.837048,34
0.723049,-0.584185,9.461885,0.658826,31
0.723049,-0.584185,9.481039,0.853345,28
0.718261,-0.588974,9.461885,0.713208,25
0.718261,-0.584185,9.457097,0.787366,22
0.723049,-0.584185,9.461885,0.960889,23
0.718261,-0.574608,9.461885,0.783948,88
0.718261,-0.593762,9.466674,1.024243,88
0.718261,-0.588974,9.457097,0.861584,87
0.713472,-0.579397,9.466674,0.826489,84
0.718261,-0.593762,9.476251,0.769299,46
0.718261,-0.588974,9.457097,0.936841,39
